jenis_dokumen,jumlah_per_bulan,nilai_rata_rata_rp
Purchase Request,,
Purchase Order,,
Penerimaan Barang (GRN),,
Invoice vendor masuk,,
Pembayaran,,
Sales Order,,
Order produksi,,
Pengiriman / surat jalan,,
